usage_start,product_code,usage_type,resource_id,tier,nodepool,unblended_cost_usd
2026-09-04T13:00:00Z,AmazonVPC,EUC1-PublicIPv4:InUseAddress,arn:aws:ec2:eu-central-1:790348267926:network-interface/eni-0cb6e6a246fbca17c,,,0.00294861
2026-09-04T13:00:00Z,AmazonVPC,EUC1-PublicIPv4:InUseAddress,arn:aws:ec2:eu-central-1:790348267926:network-interface/eni-0c20dd828753d44ba,,,0.00294722
2026-09-04T13:00:00Z,AmazonEKS,EUC1-DataTransfer-Regional-Bytes,arn:aws:eks:eu-central-1:790348267926:pod/simple-rag-cluster/karpenter/karpenter-7894f49b5c-d76hx/3f79e0ba-a98f-4636-990f-4e049ac4a03f,,,0.0027601927
2026-09-04T13:00:00Z,AmazonEC2,EUC1-EBS:VolumeUsage.gp3,vol-0419af6a71ede6ce9,core-on-demand,,0.0026444444
2026-09-04T13:00:00Z,AmazonEC2,EUC1-EBS:VolumeUsage.gp3,vol-067294104dab552a0,core-on-demand,,0.0026444444
2026-09-04T13:00:00Z,AmazonEC2,EUC1-EBS:VolumeUsage.gp3,vol-0e9da4a4252d7ffe5,database,,0.0026444444
2026-09-04T13:00:00Z,AmazonEC2,EUC1-EBS:VolumeUsage.gp3,vol-0fcad6970a407fceb,database,,0.0026444444
2026-09-04T13:00:00Z,AmazonEC2,EUC1-DataTransfer-Regional-Bytes,i-024928ed4d6dacdf1,core-on-demand,,0.0023465005
2026-09-04T13:00:00Z,AmazonEC2,EUC1-EBS:VolumeUsage.gp3,vol-0a7c15af970ab7bc6,apps-serving,apps-serving,0.0022301481
2026-09-04T13:00:00Z,AmazonEC2,EUC1-EBS:VolumeUsage.gp3,vol-0dd7ec618840e854e,apps-serving,apps-serving,0.001973784
2026-09-04T13:00:00Z,AmazonEC2,EUC1-DataTransfer-Regional-Bytes,arn:aws:ec2:eu-central-1:790348267926:natgateway/nat-08e283a51761f1e9b,shared,,0.001688914
2026-09-04T13:00:00Z,awskms,eu-central-1-KMS-Keys,arn:aws:kms:eu-central-1:790348267926:key/a45ca597-dc2a-44a0-9199-0ac85c067d09,,,0.0013888889
2026-09-04T13:00:00Z,AmazonEC2,EUC1-EBS:VolumeUsage.gp3,vol-0ecaff5e5057c9450,,,0.0013222222
2026-09-04T13:00:00Z,AmazonEC2,EUC1-EBS:VolumeUsage.gp3,vol-07423f03d288f8f4c,,,0.0013222222
2026-09-04T13:00:00Z,AmazonEC2,EUC1-EBS:VolumeUsage.gp3,vol-00e83c74f9bd1114c,,,0.0013222222
2026-09-04T13:00:00Z,AmazonEC2,EUC1-EBS:VolumeUsage.gp3,vol-08044db097d9917e2,,,0.0013222222
2026-09-04T13:00:00Z,AmazonEKS,EUC1-DataTransfer-Regional-Bytes,arn:aws:eks:eu-central-1:790348267926:pod/simple-rag-cluster/karpenter/karpenter-7894f49b5c-t7z4k/a9ea1551-985e-4b1e-a8f1-65724b7a569b,,,0.0007828769
2026-09-04T13:00:00Z,AmazonEC2,EUC1-EBS:VolumeUsage.gp3,vol-04dcf0cba280384d6,apps-compute,apps-compute,0.0003511235
2026-09-04T13:00:00Z,AmazonEC2,EUC1-EBS:VolumeUsage.gp3,vol-044c3dcce6812de51,apps-compute,apps-compute,0.0003408395
2026-09-04T13:00:00Z,AmazonEC2,EUC1-EBS:VolumeUsage.gp3,vol-06bb66af3eab5d0c7,apps-serving,apps-serving,0.0003217407
